reviewer_id,reviewer_kind,variant,review_order,sample_id,role,family_id,split,gold_level,gold_categories,gold_acceptable_alternative_levels,human_level,human_categories,human_confidence,human_taxonomy_ambiguity,human_alternative_levels,human_insufficient_information,human_rationale,level_human_eq_gold,cats_human_eq_gold,lenient_level_match,pred_rules,level_pattern_rules,cats_pattern_rules,pred_ml,level_pattern_ml,cats_pattern_ml,pred_llm_small,level_pattern_llm_small,cats_pattern_llm_small,pred_llm_mid,level_pattern_llm_mid,cats_pattern_llm_mid,pred_llm_large,level_pattern_llm_large,cats_pattern_llm_large,pred_hybrid,level_pattern_hybrid,cats_pattern_hybrid
ChatGPT-GPT-5.6-Sol,ai,content,11,uc4-e9ab29f565,disputed,hn_business_case_study,calibration,PUBLIC,,,PUBLIC,,medium,TRUE,INTERNAL,FALSE,"The document is framed as a historical teaching case about a completed 2010 merger, which matches the taxonomy's historical/public case-study counterexample for M&A.",TRUE,TRUE,TRUE,abstained,,,HIGHLY_CONFIDENTIAL (no categories),gold=human≠pred,all agree,unavailable,,,unavailable,,,unavailable,,,unavailable,,
ChatGPT-GPT-5.6-Sol,ai,content,12,uc4-089c6dc891,disputed,hn_business_case_study,calibration,PUBLIC,,,INTERNAL,,medium,TRUE,PUBLIC,FALSE,"This is a historical case study about a completed 2007 merger, so M&A / Corporate Strategy does not apply. The text does not explicitly establish public-release status, so Internal is the default.",FALSE,TRUE,TRUE,abstained,,,HIGHLY_CONFIDENTIAL (no categories),all differ,all agree,unavailable,,,unavailable,,,unavailable,,,unavailable,,
ChatGPT-GPT-5.6-Sol,ai,content,13,uc4-b16d04f2c2,control,int_team_meeting_notes,dev,INTERNAL,,,INTERNAL,,high,FALSE,,FALSE,"Routine internal Operations team notes contain no regulated, strategic, credential or other defined sensitive category.",TRUE,TRUE,TRUE,abstained,,,HIGHLY_CONFIDENTIAL (no categories),gold=human≠pred,all agree,INTERNAL (no categories),all agree,all agree,INTERNAL (no categories),all agree,all agree,INTERNAL (no categories),all agree,all agree,INTERNAL (no categories),all agree,all agree
ChatGPT-GPT-5.6-Sol,ai,content,14,uc4-fac2c886c3,disputed,hn_business_case_study,calibration,PUBLIC,,,INTERNAL,,medium,TRUE,PUBLIC,FALSE,"This is a historical case study about a completed 2016 merger, so M&A / Corporate Strategy does not apply. Public-release intent is not explicit, making Internal the default.",FALSE,TRUE,TRUE,abstained,,,HIGHLY_CONFIDENTIAL (no categories),all differ,all agree,unavailable,,,unavailable,,,unavailable,,,unavailable,,
ChatGPT-GPT-5.6-Sol,ai,content,15,uc4-00ac341854,disputed,hn_public_api_docs_placeholder_keys,dev,PUBLIC,,,PUBLIC,,high,FALSE,,FALSE,"The quickstart uses placeholders and explicitly documented example AWS keys, which the taxonomy excludes from Credentials / Secrets. Its documentation format and example language indicate public documentation.",TRUE,TRUE,TRUE,abstained,,,HIGHLY_CONFIDENTIAL (CREDENTIALS_SECRETS),gold=human≠pred,gold=human≠pred,PUBLIC (no categories),all agree,all agree,INTERNAL (no categories),gold=human≠pred,all agree,INTERNAL (no categories),gold=human≠pred,all agree,INTERNAL (no categories),gold=human≠pred,all agree
ChatGPT-GPT-5.6-Sol,ai,content,16,uc4-2154faf7ae,control,pub_careers_faq,dev,PUBLIC,,,PUBLIC,,high,FALSE,,FALSE,"This is a recruiting advertisement that explicitly directs applicants to a public careers page, establishing public-release intent.",TRUE,TRUE,TRUE,abstained,,,INTERNAL (no categories),gold=human≠pred,all agree,PUBLIC (no categories),all agree,all agree,PUBLIC (no categories),all agree,all agree,PUBLIC (no categories),all agree,all agree,PUBLIC (no categories),all agree,all agree
ChatGPT-GPT-5.6-Sol,ai,content,17,uc4-4b84f54ee7,disputed,phi_prescription_record,dev,HIGHLY_CONFIDENTIAL,PHI,,HIGHLY_CONFIDENTIAL,PHI,high,FALSE,,FALSE,The prescription record links an identifiable patient/MRN to medication and diagnosis. This is individually identifiable health information and therefore PHI.,TRUE,TRUE,TRUE,HIGHLY_CONFIDENTIAL (PHI),all agree,all agree,HIGHLY_CONFIDENTIAL (PHI),all agree,all agree,HIGHLY_CONFIDENTIAL (PHI),all agree,all agree,HIGHLY_CONFIDENTIAL (PHI),all agree,all agree,HIGHLY_CONFIDENTIAL (PHI;PII),all agree,gold=human≠pred,HIGHLY_CONFIDENTIAL (PHI),all agree,all agree
ChatGPT-GPT-5.6-Sol,ai,content,18,uc4-2472fae2da,disputed,amb_customer_case_study_draft,dev,CONFIDENTIAL,,PUBLIC,CONFIDENTIAL,,medium,TRUE,INTERNAL,FALSE,"The customer story is a draft awaiting customer approval, so it is not yet approved for public release. No defined category clearly applies.",TRUE,TRUE,TRUE,abstained,,,HIGHLY_CONFIDENTIAL (no categories),gold=human≠pred,all agree,CONFIDENTIAL (no categories),all agree,all agree,CONFIDENTIAL (no categories),all agree,all agree,CONFIDENTIAL (no categories),all agree,all agree,CONFIDENTIAL (no categories),all agree,all agree
ChatGPT-GPT-5.6-Sol,ai,content,19,uc4-c8334a8e38,control,pub_careers_faq,dev,PUBLIC,,,PUBLIC,,high,FALSE,,FALSE,The careers FAQ explicitly directs readers to a public careers site and is clearly intended for external applicants.,TRUE,TRUE,TRUE,abstained,,,HIGHLY_CONFIDENTIAL (no categories),gold=human≠pred,all agree,PUBLIC (no categories),all agree,all agree,PUBLIC (no categories),all agree,all agree,PUBLIC (no categories),all agree,all agree,PUBLIC (no categories),all agree,all agree
ChatGPT-GPT-5.6-Sol,ai,content,20,uc4-19c5bd1307,disputed,phi_prescription_record,dev,HIGHLY_CONFIDENTIAL,PHI,,HIGHLY_CONFIDENTIAL,PHI,high,FALSE,,FALSE,The pharmacy record links a named patient/MRN to medication and diagnosis. This meets PHI and carries a Highly Confidential floor.,TRUE,TRUE,TRUE,HIGHLY_CONFIDENTIAL (PHI),all agree,all agree,HIGHLY_CONFIDENTIAL (PHI),all agree,all agree,HIGHLY_CONFIDENTIAL (PHI;PII),all agree,gold=human≠pred,HIGHLY_CONFIDENTIAL (PHI),all agree,all agree,HIGHLY_CONFIDENTIAL (PHI),all agree,all agree,HIGHLY_CONFIDENTIAL (PHI),all agree,all agree
ChatGPT-GPT-5.6-Sol,ai,content,21,uc4-de62c38c69,disputed,phi_prescription_record,dev,HIGHLY_CONFIDENTIAL,PHI,,HIGHLY_CONFIDENTIAL,PHI,high,FALSE,,FALSE,The pharmacy record links a named patient/MRN to medication and diagnosis. This meets PHI and carries a Highly Confidential floor.,TRUE,TRUE,TRUE,HIGHLY_CONFIDENTIAL (PHI),all agree,all agree,HIGHLY_CONFIDENTIAL (PHI),all agree,all agree,HIGHLY_CONFIDENTIAL (PHI;PII),all agree,gold=human≠pred,HIGHLY_CONFIDENTIAL (PHI),all agree,all agree,HIGHLY_CONFIDENTIAL (PHI),all agree,all agree,HIGHLY_CONFIDENTIAL (PHI),all agree,all agree
ChatGPT-GPT-5.6-Sol,ai,content,22,uc4-c2223643cf,disputed,phi_prescription_record,dev,HIGHLY_CONFIDENTIAL,PHI,,HIGHLY_CONFIDENTIAL,PHI,high,FALSE,,FALSE,The pharmacy record links a named patient/MRN to medication and diagnosis. This meets PHI and carries a Highly Confidential floor.,TRUE,TRUE,TRUE,HIGHLY_CONFIDENTIAL (PHI),all agree,all agree,HIGHLY_CONFIDENTIAL (PHI),all agree,all agree,HIGHLY_CONFIDENTIAL (PHI),all agree,all agree,HIGHLY_CONFIDENTIAL (PHI),all agree,all agree,HIGHLY_CONFIDENTIAL (PHI),all agree,all agree,HIGHLY_CONFIDENTIAL (PHI),all agree,all agree
ChatGPT-GPT-5.6-Sol,ai,content,23,uc4-59fba52cb2,control,pub_careers_faq,dev,PUBLIC,,,PUBLIC,,high,FALSE,,FALSE,"The careers FAQ is directed to job applicants and explicitly points to a public careers page, establishing public-release intent.",TRUE,TRUE,TRUE,abstained,,,HIGHLY_CONFIDENTIAL (no categories),gold=human≠pred,all agree,PUBLIC (no categories),all agree,all agree,PUBLIC (no categories),all agree,all agree,PUBLIC (no categories),all agree,all agree,PUBLIC (no categories),all agree,all agree
ChatGPT-GPT-5.6-Sol,ai,content,24,uc4-a278fd5603,disputed,hn_business_case_study,calibration,PUBLIC,,,PUBLIC,,medium,TRUE,INTERNAL,FALSE,"The filename and content frame this as a historical teaching case about a completed 2006 merger, matching the historical/public case-study counterexample for M&A.",TRUE,TRUE,TRUE,abstained,,,HIGHLY_CONFIDENTIAL (no categories),gold=human≠pred,all agree,unavailable,,,unavailable,,,unavailable,,,unavailable,,
ChatGPT-GPT-5.6-Sol,ai,content,25,uc4-9d42fc85c9,disputed,hn_public_api_docs_placeholder_keys,dev,PUBLIC,,,PUBLIC,,high,FALSE,,FALSE,"The authentication quickstart contains placeholders and explicitly documented example keys, which are excluded from Credentials / Secrets. It reads as public product documentation.",TRUE,TRUE,TRUE,abstained,,,HIGHLY_CONFIDENTIAL (CREDENTIALS_SECRETS),gold=human≠pred,gold=human≠pred,INTERNAL (no categories),gold=human≠pred,all agree,INTERNAL (no categories),gold=human≠pred,all agree,INTERNAL (no categories),gold=human≠pred,all agree,INTERNAL (no categories),gold=human≠pred,all agree
ChatGPT-GPT-5.6-Sol,ai,content,26,uc4-10e1c66f39,disputed,hn_public_api_docs_placeholder_keys,dev,PUBLIC,,,PUBLIC,,high,FALSE,,FALSE,"The SDK quickstart uses placeholders and documented example keys rather than live credentials, and is presented as public-facing documentation.",TRUE,TRUE,TRUE,abstained,,,HIGHLY_CONFIDENTIAL (CREDENTIALS_SECRETS),gold=human≠pred,gold=human≠pred,PUBLIC (no categories),all agree,all agree,INTERNAL (no categories),gold=human≠pred,all agree,INTERNAL (no categories),gold=human≠pred,all agree,INTERNAL (no categories),gold=human≠pred,all agree
ChatGPT-GPT-5.6-Sol,ai,content,27,uc4-35ffba48e4,disputed,hn_public_api_docs_placeholder_keys,dev,PUBLIC,,,PUBLIC,,high,FALSE,,FALSE,"The authentication quickstart contains only placeholders and documented example keys, which the taxonomy excludes from Credentials / Secrets, and is public-style documentation.",TRUE,TRUE,TRUE,abstained,,,HIGHLY_CONFIDENTIAL (CREDENTIALS_SECRETS),gold=human≠pred,gold=human≠pred,PUBLIC (no categories),all agree,all agree,INTERNAL (no categories),gold=human≠pred,all agree,INTERNAL (no categories),gold=human≠pred,all agree,INTERNAL (no categories),gold=human≠pred,all agree
ChatGPT-GPT-5.6-Sol,ai,content,28,uc4-521a321e60,disputed,amb_customer_case_study_draft,dev,CONFIDENTIAL,,PUBLIC,CONFIDENTIAL,,medium,TRUE,INTERNAL,FALSE,The customer story is a draft awaiting customer approval and is not yet approved for public release. No defined category clearly applies.,TRUE,TRUE,TRUE,abstained,,,HIGHLY_CONFIDENTIAL (no categories),gold=human≠pred,all agree,CONFIDENTIAL (no categories),all agree,all agree,CONFIDENTIAL (no categories),all agree,all agree,CONFIDENTIAL (no categories),all agree,all agree,CONFIDENTIAL (no categories),all agree,all agree
ChatGPT-GPT-5.6-Sol,ai,content,29,uc4-02400f99b0,disputed,hn_public_api_docs_placeholder_keys,dev,PUBLIC,,,PUBLIC,,high,FALSE,,FALSE,"The API quickstart uses placeholders and documented example credentials, not live secrets, and is presented as public product documentation.",TRUE,TRUE,TRUE,abstained,,,HIGHLY_CONFIDENTIAL (CREDENTIALS_SECRETS),gold=human≠pred,gold=human≠pred,PUBLIC (no categories),all agree,all agree,INTERNAL (no categories),gold=human≠pred,all agree,INTERNAL (no categories),gold=human≠pred,all agree,INTERNAL (no categories),gold=human≠pred,all agree
ChatGPT-GPT-5.6-Sol,ai,content,30,uc4-f79ebb3064,disputed,amb_customer_case_study_draft,dev,CONFIDENTIAL,,PUBLIC,CONFIDENTIAL,,medium,TRUE,INTERNAL,FALSE,"The customer story is explicitly awaiting customer approval, so it is not yet approved for public release despite being intended for later publication.",TRUE,TRUE,TRUE,abstained,,,HIGHLY_CONFIDENTIAL (no categories),gold=human≠pred,all agree,CONFIDENTIAL (no categories),all agree,all agree,CONFIDENTIAL (no categories),all agree,all agree,CONFIDENTIAL (no categories),all agree,all agree,CONFIDENTIAL (no categories),all agree,all agree
ChatGPT-GPT-5.6-Sol,ai,content,31,uc4-c885ab8c28,disputed,phi_prescription_record,dev,HIGHLY_CONFIDENTIAL,PHI,,HIGHLY_CONFIDENTIAL,PHI,high,FALSE,,FALSE,The pharmacy record links a named patient/MRN to medication and diagnosis. This is PHI and therefore Highly Confidential.,TRUE,TRUE,TRUE,HIGHLY_CONFIDENTIAL (PHI),all agree,all agree,HIGHLY_CONFIDENTIAL (PHI),all agree,all agree,HIGHLY_CONFIDENTIAL (PHI),all agree,all agree,HIGHLY_CONFIDENTIAL (PHI),all agree,all agree,HIGHLY_CONFIDENTIAL (PHI;PII),all agree,gold=human≠pred,HIGHLY_CONFIDENTIAL (PHI),all agree,all agree
ChatGPT-GPT-5.6-Sol,ai,content,32,uc4-210e112c7e,disputed,hn_business_case_study,calibration,PUBLIC,,,INTERNAL,,medium,TRUE,PUBLIC,FALSE,"This is a historical case study about a completed 2014 merger, so M&A / Corporate Strategy does not apply. The text does not explicitly establish public-release intent.",FALSE,TRUE,TRUE,abstained,,,HIGHLY_CONFIDENTIAL (no categories),all differ,all agree,unavailable,,,unavailable,,,unavailable,,,unavailable,,
ChatGPT-GPT-5.6-Sol,ai,content,33,uc4-4c7bd732c6,disputed,amb_customer_case_study_draft,dev,CONFIDENTIAL,,PUBLIC,CONFIDENTIAL,,medium,TRUE,INTERNAL,FALSE,"The customer story is a draft awaiting customer approval, so it is not yet approved for public release. No defined category clearly applies.",TRUE,TRUE,TRUE,abstained,,,HIGHLY_CONFIDENTIAL (no categories),gold=human≠pred,all agree,CONFIDENTIAL (no categories),all agree,all agree,CONFIDENTIAL (no categories),all agree,all agree,CONFIDENTIAL (no categories),all agree,all agree,CONFIDENTIAL (no categories),all agree,all agree
