sample_id,filename,content,human_level,human_categories,human_confidence,human_rationale,human_taxonomy_ambiguity,human_alternative_levels,human_insufficient_information,reviewer_id,review_date
uc4-633f3b10fe,db_client.py,"// Internal - Inkwell Aerospace
const apiKey = process.env.PAYMENTS_API_KEY;
if (!apiKey) {
  throw new Error(""PAYMENTS_API_KEY is not set"");
}
const client = new PaymentsClient({ apiKey });
",CONFIDENTIAL,SOURCE_CODE,high,"The file is explicitly internal code. It reads a key from an environment variable rather than containing the secret, so only Source Code applies.",no,,no,Rahul,2026-09-21
uc4-ecb3c33352,Careers_FAQ.html,"Join Alderbrook Networks

We are hiring a Architect in Data Science to work with a small team on fleet tracker products. You will collaborate with customers, ship features and help shape our roadmap.

What we offer: flexible working, learning budget, and a friendly team in Lyon.
How to apply: send a short note and your resume through our public careers page.
",PUBLIC,NONE,high,This recruiting advertisement directs applicants to a public careers page and is clearly intended for public distribution.,no,,no,Rahul,2026-09-21
uc4-97a4c07fb4,New_Hire_Form_2026.pdf,"Umberton Foods - Employee Data Sheet (blank template, revision 5)
Legal name ............................
Tax identification no. ................
Birth date ............................
Residential address ...................
Bank details for payroll ..............
Please fill in every line and hand the form to Leila Haddad in HR. Do not email completed forms.
",INTERNAL,NONE,high,The employee data sheet is a blank template; empty personal and bank fields do not constitute actual PII or financial data.,no,,no,Rahul,2026-09-21
uc4-de0bb4eb1c,Postmortem_177.docx,"Postmortem - partial outage on Wednesday

Summary: the primary database host auth-01.corp.example ran out of disk after a batch job wrote unexpected temporary files. Failover to db-02.corp.example took 34 minutes because the replica lagged.
Impact: about 9.0% of requests failed for 85 minutes.
Actions: add disk alerts, cap batch temp usage, rehearse failover quarterly.
",CONFIDENTIAL,NONE,medium,"The postmortem reveals internal hosts, outage impact and operational weaknesses, making external disclosure plausibly harmful, though no named category clearly applies.",yes,INTERNAL,no,Rahul,2026-09-21
uc4-2154faf7ae,Join_Foxglove.txt,"Join Foxglove Devices

We are hiring a Engineer in Legal to work with a small team on fleet tracker products. You will collaborate with customers, ship features and help shape our roadmap.

What we offer: flexible working, learning budget, and a friendly team in Valencia.
How to apply: send a short note and your resume through our public careers page.
",PUBLIC,NONE,high,"The hiring notice explicitly directs applicants to a public careers page, indicating public-release intent.",no,,no,Rahul,2026-09-21
uc4-fac2c886c3,Case_Study_Merger_Horizon.pdf,"Case study: the Emberlight Cloud-Elmsworth Mobility merger

In 2016, Emberlight Cloud acquired Elmsworth Mobility in one of the largest deals in the precision components industry. The case examines how the acquirer financed the purchase, how integration unfolded, and why the combined firm struggled with culture clashes in its first years.

Discussion questions: Was the price justified? What would you have done differently in integration?
",INTERNAL,NONE,medium,"This is a historical completed-merger case rather than non-public future strategy. Public status is not explicit, so Internal is the default.",yes,PUBLIC,no,Rahul,2026-09-21
uc4-f01402e5c4,Customer_Story_2028.docx,"DRAFT customer story - awaiting customer approval

Quillon Holdings reduced downtime by 26.1% after adopting our edge gateway. ""We expected a long rollout, but the team was live in weeks,"" said Gwendolyn Halvorsen, Senior Analyst at Quillon Holdings.
Marketing will publish once the customer signs off on the wording and the figures.
",CONFIDENTIAL,NONE,medium,The customer story is awaiting customer approval and is therefore not yet approved for public release; the non-public customer results make Confidential defensible.,yes,INTERNAL,no,Rahul,2026-09-21
uc4-da9e1d43b1,Employee_Directory_2027.xlsx,"name,title,department,work_email,office
Sabine Pellegrino,Senior Analyst,Sales,sabine.pellegrino@bellhavenhealth.example,Denver
Hassan Sokolov,Specialist,Data Science,hassan.sokolov@bellhavenhealth.example,Denver
Marcus Ramanathan,Architect,Operations,marcus.ramanathan@bellhavenhealth.example,Bristol
Pavel Jovanovic,Staff Engineer,Human Resources,pavel.jovanovic@bellhavenhealth.example,Bristol
",INTERNAL,NONE,high,"Only business names, titles, departments, work emails and offices are listed; business contact details alone are explicitly excluded from PII.",no,,no,Rahul,2026-09-21
uc4-31b9634466,legacy_accounts_72.csv,"username,password_hash
Bruno_80,$2b$12$ozFhYBahu2ZBxTamq3fOsGlAbFlbTgGMKN8B0Tye4Skau0Gt3CcQV
Keiko_68,$2b$12$ndDP6MpFdZkFnNCMAe9jM4K9iYxMspYf9xbjIAgBaGra3rkwTA5S4
Jasmine_77,$2b$12$aDUWrsO7eoSLhMwLJ7zwKxK4aRipBkJIH5Zwd4kKvuzPpcvF7G3xn
",CONFIDENTIAL,NONE,medium,"Usernames and password hashes are sensitive security information, but hashes are not clearly live passwords, keys or tokens under the Credentials / Secrets definition.",yes,HIGHLY_CONFIDENTIAL,no,Rahul,2026-09-21
uc4-27c61a57f0,Talk_Draft_Seattle.docx,"Talk outline for the Seattle conference

We will present our approach to on-device calibration, including the feedback structure and the accuracy gains we measured across 21 units.
Legal has cleared a general description; the detailed algorithm is not to be shown. Slides due December.
",CONFIDENTIAL,INTELLECTUAL_PROPERTY,medium,"The draft talk discusses a non-public technical approach and measured results before presentation, fitting unpublished technical Intellectual Property.",yes,INTERNAL,no,Rahul,2026-09-21
uc4-bea9a6819d,Manuscript_Ironclad.docx,"Draft manuscript - not yet submitted

Abstract. We propose a self-calibrating estimator for low-cost sensors and show that it reduces drift by 41.7% on a benchmark of 37 devices. The method requires no reference standard and runs on commodity hardware.
We plan to submit to a peer-reviewed venue once co-authors have approved the text.
",CONFIDENTIAL,INTELLECTUAL_PROPERTY,high,"The unsubmitted manuscript describes a novel method and unpublished research results, directly matching Intellectual Property.",no,,no,Rahul,2026-09-21
uc4-5317e7d5e6,Board_Minutes_July.docx,"Minutes of the board meeting

Present: all directors and Rosalind Castellano, secretary.
1. Minutes of the previous meeting approved.
2. The CEO reported on progress against the annual plan and the competitive landscape in Nordics.
3. The committee chairs gave their updates. The audit committee noted no material issues.
4. Directors discussed long-term priorities and agreed to revisit strategy at the next meeting.
5. Any other business: none.
",CONFIDENTIAL,NONE,medium,"These non-public board minutes discuss competitive landscape and priorities, but the excerpt lacks a concrete strategic plan; Confidential is defensible.",yes,HIGHLY_CONFIDENTIAL,no,Rahul,2026-09-21
uc4-4aaea9fc3f,Compensation_Bands_2026.xlsx,"Compensation bands - 2026

Level 3: $69,680 to $80,014
Level 4: $97,798 to $113,262
Level 5: $101,335 to $153,766

Managers may share the band for their own team's roles when hiring.
",CONFIDENTIAL,NONE,medium,"Internal compensation bands are restricted sensitive business information, although they do not clearly meet a named data category.",yes,INTERNAL,no,Rahul,2026-09-21
