reviewer_id,reviewer_kind,review_order,sample_id,role,family_id,split,gold_level,gold_categories,gold_acceptable_alternative_levels,human_level,human_categories,human_confidence,human_taxonomy_ambiguity,human_alternative_levels,human_insufficient_information,human_rationale,level_human_eq_gold,cats_human_eq_gold,lenient_level_match
Rahul,human,11,uc4-14696d668c,review,amb_aggregate_health_stats,calibration,HIGHLY_CONFIDENTIAL,,CONFIDENTIAL,INTERNAL,,medium,FALSE,,FALSE,"The clinic statistics are aggregated and explicitly de-identified; without public-release intent, Internal is appropriate.",FALSE,TRUE,FALSE
Rahul,human,12,uc4-19c5bd1307,review,phi_prescription_record,dev,HIGHLY_CONFIDENTIAL,PHI,,HIGHLY_CONFIDENTIAL,PHI,high,FALSE,,FALSE,"A named patient and MRN are linked to medication and diagnosis, clearly meeting PHI.",TRUE,TRUE,TRUE
Rahul,human,13,uc4-c8334a8e38,control,pub_careers_faq,dev,PUBLIC,,,PUBLIC,,high,FALSE,,FALSE,"The careers FAQ targets external applicants and points to a public careers page, establishing public-release intent.",TRUE,TRUE,TRUE
Rahul,human,14,uc4-6454537dc7,control,int_team_meeting_notes,dev,INTERNAL,,,INTERNAL,,high,FALSE,,FALSE,Routine Facilities meeting notes contain ordinary internal operational information and no defined sensitive category.,TRUE,TRUE,TRUE
Rahul,human,15,uc4-66c7774ba3,control,pii_manager_notes_private,dev,CONFIDENTIAL,PII,,CONFIDENTIAL,PII,high,FALSE,,FALSE,"Private divorce and immigration circumstances are tied to a named employee, directly meeting the PII definition.",TRUE,TRUE,TRUE
Rahul,human,16,uc4-633f3b10fe,control,hn_code_reads_env_secrets,dev,CONFIDENTIAL,SOURCE_CODE,,CONFIDENTIAL,SOURCE_CODE,high,FALSE,,FALSE,"The file is explicitly internal code. It reads a key from an environment variable rather than containing the secret, so only Source Code applies.",TRUE,TRUE,TRUE
Rahul,human,17,uc4-ecb3c33352,control,pub_careers_faq,dev,PUBLIC,,,PUBLIC,,high,FALSE,,FALSE,This recruiting advertisement directs applicants to a public careers page and is clearly intended for public distribution.,TRUE,TRUE,TRUE
Rahul,human,18,uc4-97a4c07fb4,control,hn_blank_hr_form_template,dev,INTERNAL,,,INTERNAL,,high,FALSE,,FALSE,The employee data sheet is a blank template; empty personal and bank fields do not constitute actual PII or financial data.,TRUE,TRUE,TRUE
Rahul,human,19,uc4-de0bb4eb1c,review,amb_incident_postmortem_internal,train,CONFIDENTIAL,,INTERNAL,CONFIDENTIAL,,medium,TRUE,INTERNAL,FALSE,"The postmortem reveals internal hosts, outage impact and operational weaknesses, making external disclosure plausibly harmful, though no named category clearly applies.",TRUE,TRUE,TRUE
Rahul,human,20,uc4-2154faf7ae,control,pub_careers_faq,dev,PUBLIC,,,PUBLIC,,high,FALSE,,FALSE,"The hiring notice explicitly directs applicants to a public careers page, indicating public-release intent.",TRUE,TRUE,TRUE
Rahul,human,21,uc4-fac2c886c3,review,hn_business_case_study,calibration,PUBLIC,,,INTERNAL,,medium,TRUE,PUBLIC,FALSE,"This is a historical completed-merger case rather than non-public future strategy. Public status is not explicit, so Internal is the default.",FALSE,TRUE,TRUE
Rahul,human,22,uc4-f01402e5c4,review,amb_customer_case_study_draft,dev,CONFIDENTIAL,,PUBLIC;INTERNAL,CONFIDENTIAL,,medium,TRUE,INTERNAL,FALSE,The customer story is awaiting customer approval and is therefore not yet approved for public release; the non-public customer results make Confidential defensible.,TRUE,TRUE,TRUE
Rahul,human,23,uc4-da9e1d43b1,review,amb_employee_directory,train,CONFIDENTIAL,,INTERNAL,INTERNAL,,high,FALSE,,FALSE,"Only business names, titles, departments, work emails and offices are listed; business contact details alone are explicitly excluded from PII.",FALSE,TRUE,TRUE
Rahul,human,24,uc4-31b9634466,review,amb_hashed_password_dump,train,HIGHLY_CONFIDENTIAL,,CONFIDENTIAL,CONFIDENTIAL,,medium,TRUE,HIGHLY_CONFIDENTIAL,FALSE,"Usernames and password hashes are sensitive security information, but hashes are not clearly live passwords, keys or tokens under the Credentials / Secrets definition.",FALSE,TRUE,TRUE
Rahul,human,25,uc4-27c61a57f0,review,amb_conference_talk_draft,train,CONFIDENTIAL,INTELLECTUAL_PROPERTY,INTERNAL,CONFIDENTIAL,INTELLECTUAL_PROPERTY,medium,TRUE,INTERNAL,FALSE,"The draft talk discusses a non-public technical approach and measured results before presentation, fitting unpublished technical Intellectual Property.",TRUE,TRUE,TRUE
Rahul,human,26,uc4-bea9a6819d,review,amb_research_paper_draft,dev,CONFIDENTIAL,INTELLECTUAL_PROPERTY,INTERNAL,CONFIDENTIAL,INTELLECTUAL_PROPERTY,high,FALSE,,FALSE,"The unsubmitted manuscript describes a novel method and unpublished research results, directly matching Intellectual Property.",TRUE,TRUE,TRUE
Rahul,human,27,uc4-5317e7d5e6,review,amb_board_minutes_routine,train,HIGHLY_CONFIDENTIAL,,CONFIDENTIAL,CONFIDENTIAL,,medium,TRUE,HIGHLY_CONFIDENTIAL,FALSE,"These non-public board minutes discuss competitive landscape and priorities, but the excerpt lacks a concrete strategic plan; Confidential is defensible.",FALSE,TRUE,TRUE
Rahul,human,28,uc4-4aaea9fc3f,review,amb_salary_bands,train,CONFIDENTIAL,,INTERNAL,CONFIDENTIAL,,medium,TRUE,INTERNAL,FALSE,"Internal compensation bands are restricted sensitive business information, although they do not clearly meet a named data category.",TRUE,TRUE,TRUE
